plate,channel,row,col,value,Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate 2,Label2,1,1,370,Plate2,C-1,NA,c2,C-1,C-2,A01
Plate 2,Label2,1,2,330,Plate2,C-1,NA,c2,C-1,C-2,A02
Plate 2,Label2,1,3,400,Plate2,C-1,NA,c2,C-1,C-2,A03
Plate 2,Label2,1,4,370,Plate2,C-1,NA,c2,C-1,C-2,A04
Plate 2,Label2,1,5,430,Plate2,C-1,NA,c2,C-1,C-2,A05
Plate 2,Label2,1,6,490,Plate2,C-1,NA,c2,C-1,C-2,A06
Plate 2,Label2,1,7,380,Plate2,C-1,NA,c2,C-1,C-2,A07
Plate 2,Label2,1,8,430,Plate2,C-1,NA,c2,C-1,C-2,A08
Plate 2,Label2,1,9,415,Plate2,C-1,NA,c2,C-1,C-2,A09
Plate 2,Label2,1,10,305,Plate2,C-1,NA,c2,C-1,C-2,A10
Plate 2,Label2,1,12,370,Plate2,C-1,NA,c2,C-1,C-2,A12
Plate 2,Label2,1,13,380,Plate2,C-1,NA,c2,C-1,C-2,A13
Plate 2,Label2,1,14,375,Plate2,C-1,NA,c2,C-1,C-2,A14
Plate 2,Label2,1,15,305,Plate2,C-1,NA,c2,C-1,C-2,A15
Plate 2,Label2,1,16,315,Plate2,C-1,NA,c2,C-1,C-2,A16
Plate 2,Label2,1,17,425,Plate2,C-1,NA,c2,C-1,C-2,A17
Plate 2,Label2,1,18,355,Plate2,C-1,NA,c2,C-1,C-2,A18
Plate 2,Label2,1,19,420,Plate2,C-1,NA,c2,C-1,C-2,A19
Plate 2,Label2,1,20,375,Plate2,C-1,NA,c2,C-1,C-2,A20
Plate 2,Label2,1,21,375,Plate2,C-1,NA,c2,C-1,C-2,A21
Plate 2,Label2,1,22,325,Plate2,C-1,NA,c2,C-1,C-2,A22
Plate 2,Label2,1,23,320,Plate2,C-1,NA,c2,C-1,C-2,A23
Plate 2,Label2,1,24,395,Plate2,C-1,NA,c2,C-1,C-2,A24
Plate 2,Label2,2,1,465,Plate2,C-1,NA,c2,C-1,C-2,B01
Plate 2,Label2,2,2,675,Plate2,O-50,2.375e-07,c2,C-1,C-2,B02
Plate 2,Label2,2,3,610,Plate2,O-50,4.75e-07,c2,C-1,C-2,B03
Plate 2,Label2,2,4,575,Plate2,O-50,7.125e-07,c2,C-1,C-2,B04
Plate 2,Label2,2,5,550,Plate2,O-50,1.425e-06,c2,C-1,C-2,B05
Plate 2,Label2,2,6,465,Plate2,O-50,2.613e-06,c2,C-1,C-2,B06
Plate 2,Label2,2,7,525,Plate2,O-50,4.513e-06,c2,C-1,C-2,B07
Plate 2,Label2,2,8,585,Plate2,O-50,8.075e-06,c2,C-1,C-2,B08
Plate 2,Label2,2,9,630,Plate2,O-50,1.473e-05,c2,C-1,C-2,B09
Plate 2,Label2,2,10,480,Plate2,O-50,2.684e-05,c2,C-1,C-2,B10
Plate 2,Label2,2,11,1090,Plate2,O-50,4.869e-05,c2,C-1,C-2,B11
Plate 2,Label2,2,12,435,Plate2,C-1,NA,c2,C-1,C-2,B12
Plate 2,Label2,2,13,505,Plate2,O-50,2.375e-07,c2,C-1,C-2,B13
Plate 2,Label2,2,14,550,Plate2,O-50,4.75e-07,c2,C-1,C-2,B14
Plate 2,Label2,2,15,685,Plate2,O-50,7.125e-07,c2,C-1,C-2,B15
Plate 2,Label2,2,16,560,Plate2,O-50,1.425e-06,c2,C-1,C-2,B16
Plate 2,Label2,2,17,555,Plate2,O-50,2.613e-06,c2,C-1,C-2,B17
Plate 2,Label2,2,18,635,Plate2,O-50,4.513e-06,c2,C-1,C-2,B18
