plate,channel,row,col,value
Plate 2,Label2,1,1,370
Plate 2,Label2,1,2,330
Plate 2,Label2,1,3,400
Plate 2,Label2,1,4,370
Plate 2,Label2,1,5,430
Plate 2,Label2,1,6,490
Plate 2,Label2,1,7,380
Plate 2,Label2,1,8,430
Plate 2,Label2,1,9,415
Plate 2,Label2,1,10,305
Plate 2,Label2,1,11,950
Plate 2,Label2,1,12,370
Plate 2,Label2,1,13,380
Plate 2,Label2,1,14,375
Plate 2,Label2,1,15,305
Plate 2,Label2,1,16,315
Plate 2,Label2,1,17,425
Plate 2,Label2,1,18,355
Plate 2,Label2,1,19,420
Plate 2,Label2,1,20,375
Plate 2,Label2,1,21,375
Plate 2,Label2,1,22,325
Plate 2,Label2,1,23,320
Plate 2,Label2,1,24,395
Plate 2,Label2,2,1,465
Plate 2,Label2,2,2,675
Plate 2,Label2,2,3,610
Plate 2,Label2,2,4,575
Plate 2,Label2,2,5,550
Plate 2,Label2,2,6,465
Plate 2,Label2,2,7,525
Plate 2,Label2,2,8,585
Plate 2,Label2,2,9,630
Plate 2,Label2,2,10,480
Plate 2,Label2,2,11,1090
Plate 2,Label2,2,12,435
Plate 2,Label2,2,13,505
Plate 2,Label2,2,14,550
Plate 2,Label2,2,15,685
Plate 2,Label2,2,16,560
Plate 2,Label2,2,17,555
Plate 2,Label2,2,18,635
Plate 2,Label2,2,19,590
Plate 2,Label2,2,20,470
Plate 2,Label2,2,21,675
Plate 2,Label2,2,22,765
Plate 2,Label2,2,23,460
Plate 2,Label2,2,24,275
Plate 2,Label2,3,1,480
Plate 2,Label2,3,2,925
Plate 2,Label2,3,3,535
Plate 2,Label2,3,4,455
Plate 2,Label2,3,5,615
Plate 2,Label2,3,6,680
Plate 2,Label2,3,7,540
Plate 2,Label2,3,8,510
Plate 2,Label2,3,9,675
Plate 2,Label2,3,10,775
Plate 2,Label2,3,11,790
Plate 2,Label2,3,12,385
Plate 2,Label2,3,13,610
Plate 2,Label2,3,14,530
Plate 2,Label2,3,15,440
Plate 2,Label2,3,16,490
Plate 2,Label2,3,17,575
Plate 2,Label2,3,18,420
Plate 2,Label2,3,19,470
Plate 2,Label2,3,20,480
Plate 2,Label2,3,21,725
Plate 2,Label2,3,22,890
Plate 2,Label2,3,23,610
Plate 2,Label2,3,24,365
Plate 2,Label2,4,1,620
Plate 2,Label2,4,2,560
Plate 2,Label2,4,3,555
Plate 2,Label2,4,4,605
Plate 2,Label2,4,5,555
Plate 2,Label2,4,6,585
Plate 2,Label2,4,7,685
Plate 2,Label2,4,8,440
Plate 2,Label2,4,9,585
Plate 2,Label2,4,10,785
Plate 2,Label2,4,11,605
Plate 2,Label2,4,12,485
Plate 2,Label2,4,13,505
Plate 2,Label2,4,14,565
Plate 2,Label2,4,15,590
Plate 2,Label2,4,16,570
Plate 2,Label2,4,17,440
Plate 2,Label2,4,18,645
Plate 2,Label2,4,19,685
Plate 2,Label2,4,20,630
Plate 2,Label2,4,21,500
Plate 2,Label2,4,22,630
Plate 2,Label2,4,23,475
Plate 2,Label2,4,24,400
Plate 2,Label2,5,1,600
Plate 2,Label2,5,2,775
Plate 2,Label2,5,3,510
Plate 2,Label2,5,4,640
Plate 2,Label2,5,5,595
Plate 2,Label2,5,6,485
Plate 2,Label2,5,7,625
Plate 2,Label2,5,8,695
Plate 2,Label2,5,9,635
Plate 2,Label2,5,10,670
Plate 2,Label2,5,11,855
Plate 2,Label2,5,12,455
Plate 2,Label2,5,13,650
Plate 2,Label2,5,14,485
Plate 2,Label2,5,15,445
Plate 2,Label2,5,16,530
Plate 2,Label2,5,17,450
Plate 2,Label2,5,18,405
Plate 2,Label2,5,19,670
Plate 2,Label2,5,20,410
Plate 2,Label2,5,21,475
Plate 2,Label2,5,22,925
Plate 2,Label2,5,23,570
Plate 2,Label2,5,24,370
Plate 2,Label2,6,1,365
Plate 2,Label2,6,2,655
Plate 2,Label2,6,3,530
Plate 2,Label2,6,4,485
Plate 2,Label2,6,5,555
Plate 2,Label2,6,6,625
Plate 2,Label2,6,7,355
Plate 2,Label2,6,8,535
Plate 2,Label2,6,9,520
Plate 2,Label2,6,10,580
Plate 2,Label2,6,11,780
Plate 2,Label2,6,12,560
Plate 2,Label2,6,13,485
Plate 2,Label2,6,14,445
Plate 2,Label2,6,15,505
Plate 2,Label2,6,16,690
Plate 2,Label2,6,17,560
Plate 2,Label2,6,18,510
Plate 2,Label2,6,19,530
Plate 2,Label2,6,20,370
Plate 2,Label2,6,21,605
Plate 2,Label2,6,22,535
Plate 2,Label2,6,23,505
Plate 2,Label2,6,24,440
Plate 2,Label2,7,1,580
Plate 2,Label2,7,2,490
Plate 2,Label2,7,3,635
Plate 2,Label2,7,4,475
Plate 2,Label2,7,5,620
Plate 2,Label2,7,6,620
Plate 2,Label2,7,7,625
Plate 2,Label2,7,8,575
Plate 2,Label2,7,9,640
Plate 2,Label2,7,10,805
Plate 2,Label2,7,11,760
Plate 2,Label2,7,12,425
Plate 2,Label2,7,13,545
Plate 2,Label2,7,14,420
Plate 2,Label2,7,15,450
Plate 2,Label2,7,16,565
Plate 2,Label2,7,17,380
Plate 2,Label2,7,18,550
Plate 2,Label2,7,19,550
Plate 2,Label2,7,20,480
Plate 2,Label2,7,21,540
Plate 2,Label2,7,22,740
Plate 2,Label2,7,23,410
Plate 2,Label2,7,24,440
Plate 2,Label2,8,1,520
Plate 2,Label2,8,2,540
Plate 2,Label2,8,3,675
Plate 2,Label2,8,4,565
Plate 2,Label2,8,5,560
Plate 2,Label2,8,6,660
Plate 2,Label2,8,7,440
Plate 2,Label2,8,8,610
Plate 2,Label2,8,9,545
Plate 2,Label2,8,10,655
Plate 2,Label2,8,11,560
Plate 2,Label2,8,12,420
Plate 2,Label2,8,13,660
Plate 2,Label2,8,14,380
Plate 2,Label2,8,15,440
Plate 2,Label2,8,16,735
Plate 2,Label2,8,17,590
Plate 2,Label2,8,18,540
Plate 2,Label2,8,19,500
Plate 2,Label2,8,20,500
Plate 2,Label2,8,21,520
Plate 2,Label2,8,22,490
Plate 2,Label2,8,23,570
Plate 2,Label2,8,24,420
Plate 2,Label2,9,1,1055
Plate 2,Label2,9,2,505
Plate 2,Label2,9,3,455
Plate 2,Label2,9,4,635
Plate 2,Label2,9,5,575
Plate 2,Label2,9,6,665
Plate 2,Label2,9,7,565
Plate 2,Label2,9,8,745
Plate 2,Label2,9,9,765
Plate 2,Label2,9,10,890
Plate 2,Label2,9,11,915
Plate 2,Label2,9,12,435
Plate 2,Label2,9,13,545
Plate 2,Label2,9,14,505
Plate 2,Label2,9,15,380
Plate 2,Label2,9,16,465
Plate 2,Label2,9,17,450
Plate 2,Label2,9,18,575
Plate 2,Label2,9,19,515
Plate 2,Label2,9,20,665
Plate 2,Label2,9,21,735
Plate 2,Label2,9,22,730
Plate 2,Label2,9,23,490
Plate 2,Label2,9,24,360
Plate 2,Label2,10,1,520
Plate 2,Label2,10,2,580
Plate 2,Label2,10,3,560
Plate 2,Label2,10,4,460
Plate 2,Label2,10,5,395
Plate 2,Label2,10,6,515
Plate 2,Label2,10,7,455
Plate 2,Label2,10,8,485
Plate 2,Label2,10,9,475
Plate 2,Label2,10,10,610
Plate 2,Label2,10,11,545
Plate 2,Label2,10,12,415
Plate 2,Label2,10,13,370
Plate 2,Label2,10,14,575
Plate 2,Label2,10,15,450
Plate 2,Label2,10,16,380
Plate 2,Label2,10,17,550
Plate 2,Label2,10,18,565
Plate 2,Label2,10,19,445
Plate 2,Label2,10,20,530
