Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate1,C-1,NA,c2,C-1,C-2,A01
Plate1,C-1,NA,c2,C-1,C-2,A02
Plate1,C-1,NA,c2,C-1,C-2,A03
Plate1,C-1,NA,c2,C-1,C-2,A04
Plate1,C-1,NA,c2,C-1,C-2,A05
Plate1,C-1,NA,c2,C-1,C-2,A06
Plate1,C-1,NA,c2,C-1,C-2,A07
Plate1,C-1,NA,c2,C-1,C-2,A08
Plate1,C-1,NA,c2,C-1,C-2,A09
Plate1,C-1,NA,c2,C-1,C-2,A10
Plate1,C-1,NA,c2,C-1,C-2,A11
Plate1,C-1,NA,c2,C-1,C-2,A12
Plate1,C-1,NA,c2,C-1,C-2,A13
Plate1,C-1,NA,c2,C-1,C-2,A14
Plate1,C-1,NA,c2,C-1,C-2,A15
Plate1,C-1,NA,c2,C-1,C-2,A16
Plate1,C-1,NA,c2,C-1,C-2,A17
Plate1,C-1,NA,c2,C-1,C-2,A18
Plate1,C-1,NA,c2,C-1,C-2,A19
Plate1,C-1,NA,c2,C-1,C-2,A20
Plate1,C-1,NA,c2,C-1,C-2,A21
Plate1,C-1,NA,c2,C-1,C-2,A22
Plate1,C-1,NA,c2,C-1,C-2,A23
Plate1,C-1,NA,c2,C-1,C-2,A24
Plate1,C-1,NA,c2,C-1,C-2,B01
Plate1,O-44,2.375e-07,c2,C-1,C-2,B02
Plate1,O-44,4.75e-07,c2,C-1,C-2,B03
Plate1,O-44,7.125e-07,c2,C-1,C-2,B04
Plate1,O-44,1.425e-06,c2,C-1,C-2,B05
Plate1,O-44,2.613e-06,c2,C-1,C-2,B06
Plate1,O-44,4.513e-06,c2,C-1,C-2,B07
Plate1,O-44,8.075e-06,c2,C-1,C-2,B08
Plate1,O-44,1.473e-05,c2,C-1,C-2,B09
Plate1,O-44,2.684e-05,c2,C-1,C-2,B10
Plate1,O-44,4.869e-05,c2,C-1,C-2,B11
Plate1,C-1,NA,c2,C-1,C-2,B12
Plate1,O-44,2.375e-07,c2,C-1,C-2,B13
Plate1,O-44,4.75e-07,c2,C-1,C-2,B14
Plate1,O-44,7.125e-07,c2,C-1,C-2,B15
Plate1,O-44,1.425e-06,c2,C-1,C-2,B16
Plate1,O-44,2.613e-06,c2,C-1,C-2,B17
Plate1,O-44,4.513e-06,c2,C-1,C-2,B18
Plate1,O-44,8.075e-06,c2,C-1,C-2,B19
Plate1,O-44,1.473e-05,c2,C-1,C-2,B20
Plate1,O-44,2.684e-05,c2,C-1,C-2,B21
Plate1,O-44,4.869e-05,c2,C-1,C-2,B22
Plate1,C-1,NA,c2,C-1,C-2,B23
Plate1,C-1,NA,c2,C-1,C-2,B24
Plate1,C-1,NA,c2,C-1,C-2,C01
Plate1,O-70,2.375e-07,c2,C-1,C-2,C02
Plate1,O-70,4.75e-07,c2,C-1,C-2,C03
Plate1,O-70,7.125e-07,c2,C-1,C-2,C04
Plate1,O-70,1.425e-06,c2,C-1,C-2,C05
Plate1,O-70,2.613e-06,c2,C-1,C-2,C06
Plate1,O-70,4.513e-06,c2,C-1,C-2,C07
Plate1,O-70,8.075e-06,c2,C-1,C-2,C08
Plate1,O-70,1.473e-05,c2,C-1,C-2,C09
Plate1,O-70,2.684e-05,c2,C-1,C-2,C10
Plate1,O-70,4.869e-05,c2,C-1,C-2,C11
Plate1,C-1,NA,c2,C-1,C-2,C12
Plate1,O-70,2.375e-07,c2,C-1,C-2,C13
Plate1,O-70,4.75e-07,c2,C-1,C-2,C14
Plate1,O-70,7.125e-07,c2,C-1,C-2,C15
Plate1,O-70,1.425e-06,c2,C-1,C-2,C16
Plate1,O-70,2.613e-06,c2,C-1,C-2,C17
Plate1,O-70,4.513e-06,c2,C-1,C-2,C18
Plate1,O-70,8.075e-06,c2,C-1,C-2,C19
Plate1,O-70,1.473e-05,c2,C-1,C-2,C20
Plate1,O-70,2.684e-05,c2,C-1,C-2,C21
Plate1,O-70,4.869e-05,c2,C-1,C-2,C22
Plate1,C-1,NA,c2,C-1,C-2,C23
Plate1,C-1,NA,c2,C-1,C-2,C24
Plate1,C-1,NA,c2,C-1,C-2,D01
Plate1,O-20,2.375e-07,c2,C-1,C-2,D02
Plate1,O-20,4.75e-07,c2,C-1,C-2,D03
Plate1,O-20,7.125e-07,c2,C-1,C-2,D04
Plate1,O-20,1.425e-06,c2,C-1,C-2,D05
Plate1,O-20,2.613e-06,c2,C-1,C-2,D06
Plate1,O-20,4.513e-06,c2,C-1,C-2,D07
Plate1,O-20,8.075e-06,c2,C-1,C-2,D08
Plate1,O-20,1.473e-05,c2,C-1,C-2,D09
Plate1,O-20,2.684e-05,c2,C-1,C-2,D10
Plate1,O-20,4.869e-05,c2,C-1,C-2,D11
Plate1,C-1,NA,c2,C-1,C-2,D12
Plate1,O-20,2.375e-07,c2,C-1,C-2,D13
Plate1,O-20,4.75e-07,c2,C-1,C-2,D14
Plate1,O-20,7.125e-07,c2,C-1,C-2,D15
Plate1,O-20,1.425e-06,c2,C-1,C-2,D16
Plate1,O-20,2.613e-06,c2,C-1,C-2,D17
Plate1,O-20,4.513e-06,c2,C-1,C-2,D18
Plate1,O-20,8.075e-06,c2,C-1,C-2,D19
Plate1,O-20,1.473e-05,c2,C-1,C-2,D20
Plate1,O-20,2.684e-05,c2,C-1,C-2,D21
Plate1,O-20,4.869e-05,c2,C-1,C-2,D22
Plate1,C-1,NA,c2,C-1,C-2,D23
Plate1,C-1,NA,c2,C-1,C-2,D24
Plate1,C-1,NA,c2,C-1,C-2,E01
Plate1,O-78,2.375e-07,c2,C-1,C-2,E02
Plate1,O-78,4.75e-07,c2,C-1,C-2,E03
Plate1,O-78,7.125e-07,c2,C-1,C-2,E04
